schema_version,run_id,test_id,case_id,timestamp_utc,emulator_name,emulator_version,emulator_binary_sha256,romset,parent_rom_sha256,target_rom_sha256,savestate_sha256,sequence,frame,hook_semantics,pc,event,active_player,p1_base,p2_base,p1_04,p1_05,p1_06,p1_07,p1_38,p1_54,p1_5c,p1_105,p1_140,p1_141,p1_1a4,p2_04,p2_05,p2_06,p2_07,p2_38,p2_54,p2_5c,p2_105,p2_140,p2_141,p2_1a4,indirect_target,expected_class,observed_class,case_result,notes
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-001,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,1,225,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x06,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0B,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,AIR_NORMAL_0x0A,0x06,INCONCLUSIVE,attacker airborne; character not recorded by probe; p2_158=0x00
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-002,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,2,51,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x14,NOT_LOGGED,0x00,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0A,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,GROUND_NOT_IN_SCOPE,0x14,INCONCLUSIVE,attacker grounded; character not recorded by probe; p2_158=0x00
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-003,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,3,109,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x06,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0B,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,AIR_NORMAL_0x0A,0x06,INCONCLUSIVE,attacker airborne; character not recorded by probe; p2_158=0x00
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-004,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,4,124,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x06,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0B,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,AIR_NORMAL_0x0A,0x06,INCONCLUSIVE,attacker airborne; character not recorded by probe; p2_158=0x00
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-005,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,5,139,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x06,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0B,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,AIR_NORMAL_0x0A,0x06,INCONCLUSIVE,attacker airborne; character not recorded by probe; p2_158=0x00
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-006,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,6,241,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x06,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0B,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,AIR_NORMAL_0x0A,0x06,INCONCLUSIVE,attacker airborne; character not recorded by probe; p2_158=0x00
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-007,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,7,0,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x06,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0B,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,AIR_NORMAL_0x0A,0x06,INCONCLUSIVE,attacker airborne; character not recorded by probe; p2_158=0x00
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-008,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,8,15,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x06,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0B,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,AIR_NORMAL_0x0A,0x06,INCONCLUSIVE,attacker airborne; character not recorded by probe; p2_158=0x00
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-009,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,9,67,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x06,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0B,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,AIR_NORMAL_0x0A,0x06,INCONCLUSIVE,attacker airborne; character not recorded by probe; p2_158=0x00
1.0.0,RUN-ROUTEPROBE-RETRO-001,EVID-RUNTIME-001,OBS-010,"2026/09/08 22:20:16 (local, TZ unrecorded)",FBNeo (fcadefbneo),UNVERIFIED,UNVERIFIED,vsavj (970519 Japan),UNVERIFIED,UNVERIFIED,UNVERIFIED,10,87,emu.registerbefore (drawn frames only; ~1 tick in 4 unsampled at turbo 3),NOT_LOGGED,p2_5c_rise,P1,0xFF8400,0xFF8800,NOT_LOGGED,0x00,0x0A,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,0x01,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x02,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,0x0B,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,NOT_LOGGED,AIR_NORMAL_0x0A,0x0A,INCONCLUSIVE,attacker airborne; character not recorded by probe; p2_158=0x00
